Period,Country,Sector,Subsector,Flow,Value,Marker
year/2018,european-union,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,15376.6418272408,
year/2018,european-union,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,4136.36955172134,
year/2018,european-union,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,21568.1216780717,
year/2018,european-union,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,european-union,dcms-sectors-exc-tourism-and-civil-society,sport,exports,1249.29111902855,
year/2018,european-union,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,2057.98079957453,
year/2018,european-union,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,27982.9011104761,
year/2018,european-union,creative-industries,advertising-and-marketing,exports,3492.16819480959,
year/2018,european-union,creative-industries,architecture,exports,127.70746369938,
year/2018,european-union,creative-industries,crafts,exports,0.0,suppressed
year/2018,european-union,creative-industries,design-and-designer-fashion,exports,175.346656253289,
year/2018,european-union,creative-industries,film-tv-radio-and-photography,exports,3488.7690860382,
year/2018,european-union,creative-industries,it-software-and-computer-services,exports,6750.12548397086,
year/2018,european-union,creative-industries,publishing,exports,696.362676786366,
year/2018,european-union,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,european-union,creative-industries,music-performing-and-visual-arts,exports,640.191149385541,
year/2018,european-union,digital-sector,manufacturing-of-electronics-and-computers,exports,0.0,suppressed
year/2018,european-union,digital-sector,wholesale-of-computers-and-electronics,exports,2341.9782652082,
year/2018,european-union,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,599.59598076947,
year/2018,european-union,digital-sector,software-publishing,exports,326.850889572193,
year/2018,european-union,digital-sector,film-tv-video-radio-and-music,exports,3937.72512474071,
year/2018,european-union,digital-sector,telecommunications,exports,2057.98079957453,
year/2018,european-union,digital-sector,computer-programming-consultancy-and-related-activities,exports,9731.73781525323,
year/2018,european-union,digital-sector,information-service-activities,exports,2340.61572090404,
year/2018,european-union,digital-sector,repair-of-computers-and-communication-equipment,exports,0.0,suppressed
year/2018,european-union,cultural-sector,arts,exports,172.989284761888,
year/2018,european-union,cultural-sector,film-tv-and-music,exports,3935.58347420733,
year/2018,european-union,cultural-sector,radio,exports,0.0,suppressed
year/2018,european-union,cultural-sector,photography,exports,17.9570817350966,
year/2018,european-union,cultural-sector,cultural-crafts,exports,0.0,suppressed
year/2018,european-union,cultural-sector,museums-and-galleries,exports,0.0,suppressed
year/2018,european-union,cultural-sector,library-and-archives,exports,4.976,
year/2018,european-union,cultural-sector,cultural-education,exports,0.0,suppressed
year/2018,european-union,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,suppressed
year/2018,european-union,audio-visual,audio-visual,exports,3991.1301518199,
year/2018,austria,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,103.394299415804,
year/2018,austria,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,21.4999830098618,
year/2018,austria,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,184.177982217523,
year/2018,austria,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,austria,dcms-sectors-exc-tourism-and-civil-society,sport,exports,0.0,suppressed
year/2018,austria,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,27.4555192459109,
year/2018,austria,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,324.815646599253,
year/2018,austria,creative-industries,advertising-and-marketing,exports,6.1588191544816,
year/2018,austria,creative-industries,architecture,exports,0.37571232877,
year/2018,austria,creative-industries,crafts,exports,0.0,suppressed
year/2018,austria,creative-industries,design-and-designer-fashion,exports,3.3102727674484,
year/2018,austria,creative-industries,film-tv-radio-and-photography,exports,13.196564447774,
year/2018,austria,creative-industries,it-software-and-computer-services,exports,60.6555399555962,
year/2018,austria,creative-industries,publishing,exports,12.692972199646,
year/2018,austria,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,austria,creative-industries,music-performing-and-visual-arts,exports,6.8854185620878,
year/2018,austria,digital-sector,manufacturing-of-electronics-and-computers,exports,0.0,suppressed
year/2018,austria,digital-sector,wholesale-of-computers-and-electronics,exports,0.0,suppressed
year/2018,austria,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,11.6206343258631,
year/2018,austria,digital-sector,software-publishing,exports,2.8862440443267,
year/2018,austria,digital-sector,film-tv-video-radio-and-music,exports,17.1370921518544,
year/2018,austria,digital-sector,telecommunications,exports,27.4555192459109,
year/2018,austria,digital-sector,computer-programming-consultancy-and-related-activities,exports,85.7575479828395,
year/2018,austria,digital-sector,information-service-activities,exports,15.3898327194942,
year/2018,austria,digital-sector,repair-of-computers-and-communication-equipment,exports,3.2797242004189,
year/2018,austria,cultural-sector,arts,exports,2.8437330329244,
year/2018,austria,cultural-sector,film-tv-and-music,exports,18.4020921518544,
year/2018,austria,cultural-sector,radio,exports,0.0,suppressed
year/2018,austria,cultural-sector,photography,exports,0.101157825083,
year/2018,austria,cultural-sector,cultural-crafts,exports,0.0,
year/2018,austria,cultural-sector,museums-and-galleries,exports,0.0,
year/2018,austria,cultural-sector,library-and-archives,exports,0.0,suppressed
year/2018,austria,cultural-sector,cultural-education,exports,0.0,
year/2018,austria,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,
year/2018,austria,audio-visual,audio-visual,exports,17.5945760327021,
year/2018,belgium,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,678.53625094566,
year/2018,belgium,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,71.8473953216663,
year/2018,belgium,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,626.896905845832,
year/2018,belgium,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,belgium,dcms-sectors-exc-tourism-and-civil-society,sport,exports,0.0,suppressed
year/2018,belgium,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,40.4811983927959,
year/2018,belgium,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,885.975562039491,
year/2018,belgium,creative-industries,advertising-and-marketing,exports,194.481772809164,
year/2018,belgium,creative-industries,architecture,exports,0.0,suppressed
year/2018,belgium,creative-industries,crafts,exports,0.0,
year/2018,belgium,creative-industries,design-and-designer-fashion,exports,17.6473005512637,
year/2018,belgium,creative-industries,film-tv-radio-and-photography,exports,62.6527816633998,
year/2018,belgium,creative-industries,it-software-and-computer-services,exports,363.380889916268,
year/2018,belgium,creative-industries,publishing,exports,24.4600841280978,
year/2018,belgium,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,belgium,creative-industries,music-performing-and-visual-arts,exports,9.1426136582665,
year/2018,belgium,digital-sector,manufacturing-of-electronics-and-computers,exports,0.0,suppressed
year/2018,belgium,digital-sector,wholesale-of-computers-and-electronics,exports,0.0,suppressed
year/2018,belgium,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,19.3094782210589,
year/2018,belgium,digital-sector,software-publishing,exports,11.3764708905862,
year/2018,belgium,digital-sector,film-tv-video-radio-and-music,exports,67.5478972029089,
year/2018,belgium,digital-sector,telecommunications,exports,40.4811983927959,
year/2018,belgium,digital-sector,computer-programming-consultancy-and-related-activities,exports,439.658000780884,
year/2018,belgium,digital-sector,information-service-activities,exports,15.7138611200063,
year/2018,belgium,digital-sector,repair-of-computers-and-communication-equipment,exports,9.8866272368089,
