Label,Notation,Parent Notation,Sort Priority,Description
8,8,,,
6,6,,,
10,10,,,
12,12,,,
5,5,,,
11,11,,,
0,0,,,
7,7,,,
1+2,1-2,,,
4,4,,,
9,9,,,
3,3,,,
